"Mobile Tagging","","MobileAztecAndroidMarketPubSearch","11009988"
"Mobile Tagging","","MobileAztecAndroidMarketPackSearch","11009988"
"Healthcare Codes","Code 32","Health_Code32","11009988"
"Healthcare Codes","NTIN (Data Matrix)","Health_NTIN","04150123456782"
"Healthcare Codes","PPN (Pharmacode Product Number)","Health_PPN","9N110375286414"
"Healthcare Codes","PZN7","Health_PZN7","1234562"
"Healthcare Codes","PZN8","Health_PZN8","12345678"
"ISBN Codes","ISBN 13","ISBN13","9781234567897"
"ISBN Codes","ISBN 13 + 5 Digits","ISBN13P5","978123456789712345"
"ISBN Codes","ISMN","ISMN","11009988"
"ISBN Codes","ISSN","ISSN","9771234567898"
"Business Cards","QR Code vCard","QRCode_Business_vCard","11009988"
"Business Cards","Data Matrix vCard","DataMatrix_Business_vCard","11009988"
"Business Cards","Data Matrix MeCard","DataMatrix_Business_meCard","11009988"
"EAN / UPC","UPC-A Composite Symbology","UPCACCA","12345678901|2D-data comes here"
"EAN / UPC","UPC-E Composite Symbology","UPCECCA","1234567|2D-data comes here"
"Mobile Tagging","","MobileSemaUrl","11111"
"Mobile Tagging","","MobileAztecPhone","11111"
"Mobile Tagging","","MobileAztecSMS","11111"
"Mobile Tagging","","MobileAztecTwitterProfile","11111"
"Mobile Tagging","","MobileAztecTwitterStatus","11111"
"Mobile Tagging","","MobileAztecFacebookProfile","11111"
"Mobile Tagging","","MobileAztecFacebookLike","11111"
"Mobile Tagging","","MobileAztecLinkedInProfile","11111"
"Mobile Tagging","","MobileAztecLinkedInCompanyProfile","11111"
"Mobile Tagging","","MobileAztecLinkedInShare","11111"
"Mobile Tagging","","MobileAztecAndroidMarketPubSearch","11111"
"Mobile Tagging","","MobileAztecAndroidMarketPackSearch","11111"
"Healthcare Codes","HIBC LIC 128","Health_HIBCLIC128","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC 39","Health_HIBCLIC39","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC Aztec","Health_HIBCLICAztec","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC Codablock-F","Health_HIBCLICCodaF","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC Data Matrix","Health_HIBCLICDataMatrix","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC Micro PDF 417","Health_HIBCLICMicroPDF","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC PDF 417","Health_HIBCLICPDF417","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC LIC QR-Code","Health_HIBCLICQR","+A99912345/$$52001510X3"
"Healthcare Codes","HIBC PAS 128","Health_HIBCPAS128","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS 39","Health_HIBCPAS39","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS Aztec","Health_HIBCPASAztec","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS Codablock-F","Health_HIBCPASCodaF","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS Data Matrix","Health_HIBCPASDataMatrix","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS Micro PDF417","Health_HIBCPASMicroPDF","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS PDF417","Health_HIBCPASPDF417","+/EAH783/Z34H159"
"Healthcare Codes","HIBC PAS QR-Code","Health_HIBCPASQR","+/EAH783/Z34H159"
"ISBN Codes","ISSN + 2 Digits","ISSNP2","977123456789812"
"Business Cards","QR Code MeCard","QRCode_Business_meCard","11111"
